"id","match_id","juaari_id","predicted_winning_team","predicted_more_or_less","successful","default_bet"
"154","11","14","3","MORE","false","false"
"155","12","3","1","MORE","false","false"
"156","12","2","7","MORE","false","false"
"157","12","1","1","LESS","false","false"
"158","12","4","1","LESS","false","false"
"159","12","5","7","LESS","true","false"
"160","12","6","1","MORE","false","false"
"161","12","7","7","LESS","true","false"
"162","12","8","7","MORE","false","false"
"163","12","9","7","LESS","true","false"
"164","12","10","1","MORE","false","false"
"165","12","11","1","LESS","false","false"
"166","12","12","7","LESS","true","false"
"167","12","13","1","MORE","false","false"
"168","12","14","7","MORE","false","false"
"169","13","3","10","MORE","false","false"
"170","13","2","8","MORE","false","false"
"171","13","1","8","LESS","false","false"
"172","13","4","8","LESS","false","false"
"173","13","5","8","MORE","false","false"
"174","13","6","8","LESS","false","false"
"175","13","7","10","MORE","false","false"
"176","13","8","10","MORE","false","false"
"177","13","9","10","MORE","false","false"
"178","13","10","10","MORE","false","false"
"179","13","11","10","LESS","true","false"
"180","13","12","8","MORE","false","false"
"181","13","13","10","LESS","true","false"
"182","13","14","10","LESS","true","false"
"183","14","3","9","MORE","false","false"
"184","14","2","9","MORE","false","false"
"185","14","1","9","MORE","false","false"
"186","14","4","5","MORE","false","false"
"187","14","5","9","LESS","false","false"
"188","14","6","9","LESS","false","false"
"189","14","7","5","LESS","true","false"
"190","14","8","5","LESS","true","false"
"191","14","9","9","LESS","false","false"
"192","14","10","9","MORE","false","false"
"193","14","11","9","LESS","false","false"
"194","14","12","5","MORE","false","false"
"195","14","13","9","MORE","false","false"
"196","14","14","9","MORE","false","false"
"197","15","3","1","LESS","true","false"
"198","15","2","1","MORE","false","false"
"199","15","1","2","MORE","false","false"
"200","15","4","2","MORE","false","false"
"201","15","5","1","MORE","false","false"
"202","15","6","2","LESS","false","false"
"203","15","7","1","LESS","true","false"
"204","15","8","1","LESS","true","false"
"205","15","9","1","MORE","false","false"
"206","15","10","1","LESS","true","false"
"207","15","11","2","LESS","false","false"
"208","15","12","2","LESS","false","false"
"209","15","13","1","MORE","false","false"
"210","15","14","2","LESS","false","false"
"211","16","3","7","MORE","false","false"
"212","16","2","8","LESS","false","false"
"213","16","1","7","LESS","false","false"
"214","16","4","7","MORE","false","false"
"215","16","5","8","LESS","false","false"
"216","16","6","8","LESS","false","false"
"217","16","7","8","LESS","false","false"
"218","16","8","8","LESS","false","false"
"219","16","9","8","MORE","true","false"
"220","16","10","7","LESS","false","false"
"221","16","11","7","LESS","false","false"
"222","16","12","8","MORE","true","false"
"223","16","13","8","MORE","true","false"
"224","16","14","8","LESS","false","false"
"225","17","3","3","MORE","false","false"
"226","17","2","3","LESS","false","false"
"227","17","1","3","LESS","false","false"
"228","17","4","3","LESS","false","false"
"229","17","5","3","LESS","false","false"
"230","17","6","4","LESS","true","false"
"231","17","7","4","LESS","true","false"
"232","17","8","4","LESS","true","false"
"233","17","9","3","LESS","false","false"
"234","17","10","4","LESS","true","false"
"235","17","11","3","LESS","false","false"
"236","17","12","4","LESS","true","false"
"237","17","13","4","MORE","false","false"
"238","17","14","3","LESS","false","false"
"239","18","3","6","MORE","false","false"
"240","18","2","10","MORE","false","false"
"241","18","1","10","MORE","false","false"
"242","18","4","10","LESS","false","false"
"243","18","5","10","LESS","false","false"
"244","18","6","10","LESS","false","false"
"245","18","7","6","LESS","false","false"
"246","18","8","6","MORE","false","false"
"247","18","9","10","MORE","false","false"
"248","18","10","10","MORE","false","false"
"249","18","11","10","LESS","false","false"
"250","18","12","6","LESS","false","false"
"251","18","13","10","MORE","false","false"
"252","18","14","10","LESS","false","false"
"253","28","1","6","MORE","false","false"
"254","28","2","6","LESS","false","false"
"255","28","3","6","LESS","false","false"
"256","28","4","9","MORE","false","false"
"257","28","5","6","MORE","false","false"
"258","28","6","6","LESS","false","false"
"259","28","7","9","LESS","false","false"
"260","28","8","9","MORE","false","false"
"261","28","9","6","MORE","false","false"
